nodeID,xcoord,ycoord,floor,building,nodeType,longName,Short Name,teamAssigned
WELEV00LL1,1785,924,L1,Tower,ELEV,Elevator L,WELEV00LL1,F
WELEV00LL2,1785,924,L2,Tower,ELEV,Elevator L,WELEV00LL2,F
WELEV00MF1,1810,1280,F1,Tower,ELEV,Elevator M,WELEV00M01,F
WELEV00MF2,1825,1280,F2,Tower,ELEV,Elevator M,WELEV00M02,F
WELEV00MF3,1815,1290,F3,Tower,ELEV,Elevator M,WELEV00M03,F
WELEV00ML1,1820,1284,L1,Tower,ELEV,Elevator M,WELEV00ML1,F
WELEV00ML2,1820,1280,L2,Tower,ELEV,Elevator M,WELEV00ML2,F
AEXIT0010G,1678,2460,G,BTM,EXIT,Fenwood Road,AEXIT0010G,F
AEXIT001L2,1696,2788,L2,BTM,EXIT,Parking Garage,AEXIT001L2,F
DEXIT001F2,4295,750,F2,15 Francis,EXIT,15 Lobby Entrance,DEXIT00102,F
EEXIT001F1,2275,785,F1,45 Francis,EXIT,Ambulance Parking Exit,EEXIT00101,F
EEXIT002F1,2950,705,F1,45 Francis,EXIT,Exit 2,EEXIT00201,F
FEXIT001F1,2017,799,F1,Tower,EXIT,Shattuck Street Lobby Exit,FEXIT00101,F
FEXIT002F1,1748,1321,F1,Tower,EXIT,75 Francis Valet Drop-off,FEXIT00201,F
FEXIT003F1,2099,1357,F1,Tower,EXIT,Emergency Department Entrance,FEXIT00301,F
GEXIT001F1,1751,1825,F1,Shapiro,EXIT,Francis Street Exit,GEXIT00101,F
GEXIT001L1,1702,2260,L1,Shapiro,EXIT,Fenwood Road Exit,GEXIT001L1,F
ACONF001F2,1580,2538,F2,BTM,HALL,Hall,ACONF00102,F
AHALL001F1,1638,2553,F1,BTM,HALL,Hall,AHALL00101,F
AHALL001F2,1591,2560,F2,BTM,HALL,Hall,AHALL00102,F
AHALL001F3,1534,2732,F3,BTM,HALL,Hall,AHALL00103,F
AHALL0010G,1677,2530,G,BTM,HALL,Hall,AHALL0010G,F
AHALL001L2,1627,2782,L2,BTM,HALL,Hallway to Elevator,AHALL001L2,F
AHALL002F1,1608,2596,F1,BTM,HALL,Hall,AHALL00201,F
AHALL002F2,1590,2604,F2,BTM,HALL,Hall,AHALL00202,F
AHALL002F3,1600,2732,F3,BTM,HALL,Hall,AHALL00203,F
AHALL0020G,1623,2531,G,BTM,HALL,Hall,AHALL0020G,F
AHALL002L2,1698,2776,L2,BTM,HALL,Hallway Intersection,AHALL002L2,F
AHALL003F1,1608,2737,F1,BTM,HALL,Hall,AHALL00301,F
AHALL003F2,1590,2745,F2,BTM,HALL,Hall,AHALL00302,F
AHALL003F3,1650,2732,F3,BTM,HALL,Hall,AHALL00303,F
AHALL003L2,1701,2734,L2,BTM,HALL,Hall,AHALL003L2,F
AHALL004F1,1420,2737,F1,BTM,HALL,Hall,AHALL00401,F
AHALL004F2,1528,2745,F2,BTM,HALL,Hall,AHALL00402,F
AHALL004F3,1650,2766,F3,BTM,HALL,Hall,AHALL00403,F
AHALL0040G,1528,2531,G,BTM,HALL,Hall,AHALL0040G,F
AHALL004L2,1698,2687,L2,BTM,HALL,Hall,AHALL004L2,F
AHALL005F1,1420,2865,F1,BTM,HALL,Hall,AHALL00501,F
AHALL005F2,1398,2745,F2,BTM,HALL,Hall,AHALL00502,F
AHALL005F3,1650,2855,F3,BTM,HALL,Hall,AHALL00503,F
AHALL0050G,1713,2558,G,BTM,HALL,Hall,AHALL0050G,F
AHALL006F1,1678,2865,F1,BTM,HALL,Hall,AHALL00601,F
AHALL006F2,1683,2543,F2,BTM,HALL,Hall,AHALL00602,F
AHALL006F3,1580,2858,F3,BTM,HALL,HallNode,AHALL00603,F
AHALL0060G,1595,2583,G,BTM,HALL,Hall,AHALL0060G,F
AHALL007F1,1017,2865,F1,BTM,HALL,Hall,AHALL00701,F
AHALL0070G,1712,2647,G,BTM,HALL,Hall,AHALL0070G,F
AHALL008F1,1532,2739,F1,BTM,HALL,Hall,AHALL00801,F
AHALL0080G,1602,2706,G,BTM,HALL,Hall,AHALL0080G,F
AHALL009F1,1581,2566,F1,BTM,HALL,Hall,AHALL00901,F
AHALL0090G,1524,2726,G,BTM,HALL,Hall,AHALL0090G,F
AHALL010F1,1605,2568,F1,BTM,HALL,Hall,AHALL01001,F
AHALL0100G,1600,2853,G,BTM,HALL,Hall,AHALL0100G,F
AHALL0110G,1550,2853,G,BTM,HALL,Hall,AHALL0110G,F
AHALL0120G,1548,2538,G,BTM,HALL,Hall,AHALL0120G,F
AHALL0130G,1582,2533,G,BTM,HALL,Hall,AHALL0130G,F
AHALL0140G,1599,2727,G,BTM,HALL,Hall,AHALL0140G,F
AHALL0150G,1598,2532,G,BTM,HALL,Hall,AHALL0150G,F
BDEPT006F2,2782,1303,F2,45 Francis,HALL,Hallway Intersection 31,BDEPT00602,F
BHALL001F2,2238,902,F2,45 Francis,HALL,Hallway Intersection 1 Level 2,BHALL00102,F
BHALL002F2,2279,902,F2,45 Francis,HALL,Hallway Intersection 2 Level 2,BHALL00202,F
BHALL003F2,2238,1028,F2,45 Francis,HALL,Hallway Intersection 3 Level 2,BHALL00302,F
BHALL004F2,2246,1280,F2,45 Francis,HALL,Hallway Intersection 4 Level 2,BHALL00402,F
BHALL005F2,2385,902,F2,45 Francis,HALL,Hallway Intersection 5 Level 2,BHALL00502,F
BHALL006F2,2605,902,F2,45 Francis,HALL,Hallway Intersection 6 Level 2,BHALL00602,F
BHALL007F2,2672,902,F2,45 Francis,HALL,Hallway Intersection 7 Level 2,BHALL00702,F
BHALL008F2,2605,783,F2,45 Francis,HALL,Hallway Intersection 8 Level 2,BHALL00802,F
BHALL009F2,2330,590,F2,45 Francis,HALL,Hallway Intersection 9 Level 2,BHALL00902,F
BHALL010F2,2713,902,F2,45 Francis,HALL,Hallway Intersection 10 Level 2,BHALL01002,F
BHALL011F2,2912,903,F2,45 Francis,HALL,Hallway Intersection 11 Level 2,BHALL01102,F
BHALL012F2,2945,902,F2,45 Francis,HALL,Hallway Intersection 12 Level 2,BHALL01202,F
BHALL013F2,3135,890,F2,45 Francis,HALL,Hallway Intersection 13 Level 2,BHALL01302,F
BHALL014F2,3296,880,F2,45 Francis,HALL,Hallway Intersection 14 Level 2,BHALL01402,F
BHALL015F2,2672,820,F2,45 Francis,HALL,Hallway Intersection 15 Level 2,BHALL01502,F
BHALL016F2,2721,750,F2,45 Francis,HALL,Hallway Intersection 16 Level 2,BHALL01602,F
BHALL017F2,2945,710,F2,45 Francis,HALL,Hallway Intersection 17 Level 2,BHALL01702,F
BHALL018F2,2610,953,F2,45 Francis,HALL,Hallway Intersection 18 Level 2,BHALL01802,F
BHALL019F2,2678,1032,F2,45 Francis,HALL,Hallway Intersection 19 Level 2,BHALL01902,F
BHALL020F2,2761,1032,F2,45 Francis,HALL,Hallway Intersection 20 Level 2,BHALL02002,F
BHALL021F2,2841,1032,F2,45 Francis,HALL,Hallway Intersection 21 Level 2,BHALL02102,F
BHALL022F2,2900,985,F2,45 Francis,HALL,Hallway Intersection 22 Level 2,BHALL02202,F
BHALL023F2,2912,963,F2,45 Francis,HALL,Hallway Intersection 23 Level 2,BHALL02302,F
BHALL025F2,3163,945,F2,45 Francis,HALL,Hallway Intersection 25 Level 2,BHALL02502,F
BHALL026F2,3296,945,F2,45 Francis,HALL,Hallway Intersection 26 Level 2,BHALL02602,F
BHALL027F2,3296,1043,F2,45 Francis,HALL,Hallway Intersection 27 Level 2,BHALL02702,F
BHALL028F2,3063,1043,F2,45 Francis,HALL,Hallway Intersection 28 Level 2,BHALL02802,F
BHALL029F2,2782,1091,F2,45 Francis,HALL,Hallway Intersection 29 Level 2,BHALL02902,F
BHALL030F2,2782,1165,F2,45 Francis,HALL,Hallway Intersection 30 Level 2,BHALL03002,F
BHALL031F2,2554,1280,F2,45 Francis,HALL,Hallway Intersection 31 Level 2,BHALL03102,F
